Title,Authors,Journal/Conference,Year,Citations
Asthma risk factors distribution in Lebanese children,"M Waked, P Salameh","Journal of Asthma and Allergy 2, 1-7",2008,2
"Self-medication misuse in the Middle East: A systematic literature review. Pharmacology Research & Perspectives, 5 (4), 0323","MM Khalifeh, DN Moore, R Pascale, RP Salameh",,2007,2
"Tabagisme chez les mères libanaises: connaissances, attitudes et pratiques","B Barbour, P Salameh, F Ziadeh","Eastern Mediterranean Health Journal 12 (3/4), 405",2006,2
Acts of the first Franco-Lebanese environment and health congress,P Salameh,"Beirut: Faculty of Public Health Publications, Lebanese University 160164",1999,2
Work fatigue among Lebanese community pharmacists: prevalence and correlates. Pharm Pract (Granada)[Internet]. 2020 [cited 2023 Mar 30]; 18 (2): 1844,"D Rahme, N Lahoud, H Sacre, M Akel, S Hallit, P Salameh",,1844,2
"N., & Sacre, H.(2020)","P Salameh, H Aline, DA Badro, C Abou Selwan, AOU Randa",Mental health outcomes of the COVID-19 pandemic and a collapsing economy …,,2
"Abou selwan, C., Aoun, R., & Sacre, H.(2020)","P Salameh, A Hajj, DA Badro",Mental health outcomes of the COVID-19 pandemic and a collapsing economy …,,2
"Artificial Intelligence: knowledge and attitude among Lebanese medical students. Cureus 16 (1), e51466 (2024)","OA Daher, AA Dabbousi, R Chamroukh, AY Saab, AR Al Ayoubi, ...",,,2
Association of Computer Vision Syndrome with Depression/Anxiety among Lebanese Young Adults: The Mediating Effect of Stress. Healthcare (Basel). 2023; 11 (19): 2674,"R Issa, M Sfeir, V Azzi, P Salameh, M Akiki, M Akel",,,2
"Salameh., p., Abou-Abbas, l., Saimi, L., R.(2023). Driving anger dimensions and their relationship with aberrant driver behavior in Lebanon; Results from a national self …",D Youssef,"Plos One 18 (3), e0283293",,2
Community pharmacy in Lebanon: a societal perspective. Pharm Pract. 2017; 15 (2): 893,"K Iskandar, S Hallit, EB Raad, F Droubi, N Layoun, P Salameh",,,2
Evaluation of antibiotic prescription in the Lebanese community: a pilot study. Infect Ecol Epidemiol. 2015 Jun 24; 5: 27094. doi: 10.3402/iee. v5. 27094,"N Saleh, S Awada, R Awwad, S Jibai, C Arfoul, L Zaiter, W Dib, ...",,,2
Willingness to do COVID-19 vaccine and correlates: a cross-sectional study from Lebanon,"C Halabi, S Hallit, H Sacre, R Hallit, M Akel, S Obeid, P Salameh",submitted article,,2
Factors associated with alexithymia among the Lebanese population: results of a cross-sectional study. BMC Psychol. 2019; 11; 7 (1): 80,"S Obeid, M Akel, C Haddad, K Fares, H Sacre, P Salameh",,,2
"Assessment of knowledge, attitude and practice among community pharmacists towards dental care: A national cross sectional survey. Saudi Pharm J. 2019; 27 (4): 475‐483","A Hajj, S Hallit, C Azzo, F Abdou, M Akel, H Sacre, P Salameh, ...",,,2
Isabelle Baldi. Patrick Brochard and Bernadette Abi Saleh.“Pesticides in Lebanon: a knowledge. attitude. and practice study.”,PR Salameh,"Environmental Research 94 (1), 00092-6",,2
"Maya El Hajj, et Pascale Salameh.«Evaluation of Medication Adherence in Lebanese Hypertensive Patients»","M Yassine, A Al-Hajje, S Awada, S Rachidi, S Zein, W Bawab, MB Zeid",Journal of Epidemiology and Global Health 6,,2
"Factorsassociated with alcohol use disorder: The role of depression, anxiety, stress, alexithymia and work fatigue-a population study in Lebanon. BMCPublic Health. 2020; 20 (1 …","S Obeid, M Akel, C Haddad, K Fares, H Sacre, P Salameh",,,2
Factors associated with quality of life among community pharmacists in Lebanon: results of a cross-sectional study. Pharm Pract. 2019; 17 (4): 1613,"H Sacre, S Obeid, G Choueiry, E Hobeika, R Farah, A Hajj, M Akel, ...",,,2
The epidemiology of stroke in the Middle East. European Stroke Journal. 2016; 1 (3): 180–98,"M El-Hajj, P Salameh, S Rachidi, H Hosseini",,,2
Assessing the perceptions of pharmacists working in Lebanese hospitals on the continuing education preferences. Pharm Pract (Granada). 2018; 16 (2): 1159,"K Iskandar, EB Raad, S Hallit, N Chamoun, U Usta, Y Akiki, LR Karaoui, ...",,,2
others.(2013). Do personal beliefs and peers affect the practice of alcohol consumption in university students in Lebanon,"B Barbour, P Salameh",,,2
Prevalence and correlates of cardiovascular diseases among Lebanese adult population: national data,"R Farah, RK Zeidan, M Chahine, R Chahine, P Salameh, H Hosseini",Submitt Artic,,2
"Validity, reliability and responsiveness of digital visual analogue scales for chronic spontaneous urticaria monitoring: A CRUSE® mobile health study","B Sousa‐Pinto, A Ramanauskaite, S Neisinger, E Witte‐Händel, ...","Allergy 80 (3), 750-761",2025,1
Food insecurity and lifestyle behaviours in university students amidst the COVID-19 pandemic: a comparative survey across three countries,"MM Witkowiak, AN Idris, A Sato, H Sacre, C Haddad, R Rizk, D Malaeb, ...","BMC Public Health 24 (1), 3571",2024,1
"The mediating effect of resilience between work fatigue and psychological distress among healthcare workers in Brazil, Lebanon, Nigeria, Pakistan, Poland, Qatar, Serbia, and …","F Fekih-Romdhane, S Hallit, I Mohammed, S El Khatib, A Brytek-Matera, ...","Australasian Psychiatry 32 (6), 510-519",2024,1
Parkinson’s disease in the Lebanese population: knowledge and attitude scales’ validation and correlates,"S Abramian, S Tawil, M Akel, C Haddad, P Salameh","BMC Public Health 24 (1), 3227",2024,1
The Effects of Green Spaces and Noise Exposure on the Risk of Ischemic Stroke: A Case–Control Study in Lebanon,"J El Masri, H Finge, A Afyouni, T Baroud, N Ajaj, M Ghazi, D El Masri, ...","International Journal of Environmental Research and Public Health 21 (10), 1382",2024,1
Exploring characteristics and severity of road traffic injuries in Lebanon using emergency department hospital-based data,"D Youssef, P Salameh, W Al-Shaar, N Ghosn, LR Salmi","Scientific Reports 14 (1), 24331",2024,1
Stem cell transplantation in cerebrovascular accidents: A global bibliometric analysis (2000-2023),"J El Masri, A Afyouni, M Ghazi, K Hamideh, I Moubayed, A Jurjus, ...","World Journal of Stem Cells 16 (9), 832",2024,1
Adherence to Dietary Approaches to Stop Hypertension (DASH) Diet as a Protective Factor for Ischemic Stroke and Its Influence on Disability Level: A Case–Control Study in Lebanon,"J El Masri, H Finge, T Baroud, N Ajaj, M Houmani, M Ghazi, M Younes, ...","Nutrients 16 (18), 3179",2024,1
"Migrants, réfugiés et déplacés dans les pays en contexte de crise: Biais en santé et défis humanitaires, cas des déplacés Syriens au Liban",R Khalifeh,"Bruxelles: Thèse en sciences de la santé, Université Catholique de Louvain",2024,1
"Breast cancer screening in Lebanon: Understanding knowledge, attitudes and barriers","T Elias-Rizk, E Issa, E Ammanouil, M Abou Khalil, P Salameh, ...","Clinical Epidemiology and Global Health 29, 101733",2024,1
Implant Failure and Marginal Bone Loss Between Axial and Tilted Implant: An Umbrella Review with Meta-analysis,"A Al Malak, Y El Masri, J El Masri, H Al Issawi, P Salameh, G Aoun","The International Journal of Oral & Maxillofacial Implants, 1-23",2024,1
Management of potentially inappropriate medication use among older adult’s patients in primary care settings: description of an interventional prospective non-randomized study,"C Bou Malham, S El Khatib, P Cestac, S Andrieu, L Rouch, P Salameh","BMC Primary Care 25 (1), 213",2024,1
Evaluating the influence of a 3-min online video on the community knowledge of stroke in four Arab countries,"K Iskandar, D Rahme, P Salameh, C Haddad, H Sacre, M Bahlol, ...","Frontiers in Public Health 12, 1342490",2024,1
Physical activity and odds of coronary heart disease among Lebanese women,"F Ghaddar, RK Zeidan, P Salameh, F Maupas-Schwalm","BMC Public Health 24 (1), 516",2024,1
Enhancing Child Participation in Emergency Response and Recovery for Internally Displaced or Migrant Children: A Scoping Review of Global Opportunities and Challenges,B Aammar,,2024,1
"Response to"" Clinical applicability of the Urticaria control test in patients with chronic urticaria: Further evidence from 622 adult and pediatric patients with different …","A Gutsche, P Salameh, F Aulenbacher, T Buttgereit, K Weller, ...",Allergy 79 (1),2024,1
A cross-sectional assessment of patient satisfaction with community pharmacy services in Lebanon: The IMPHACT-LB study,"H Sacre, J Safwan, F Sakr, C Haddad, M Akel, A Hajj, RM Zeenny, ...","Pharmacy Education 23 (1), 707-722",2023,1
Adherence to treatment and harmful effects of medication shortages in the context of severe crises: scale validation and correlates,"S Bou Malhab, C Haddad, H Sacre, A Hajj, RM Zeenny, M Akel, ...","Journal of Pharmaceutical Policy and Practice 16 (1), 163",2023,1
Corticosteroid and antibiotic use in hospitalized patients in Lebanon with acute exacerbation of chronic obstructive pulmonary disease,"S Basma, A Al-Hajje, P Salameh, I Nader, AM Henaine","The Egyptian Journal of Internal Medicine 35 (1), 78",2023,1
Management of Acute Stroke Among Lebanese Patients: Assessing Adherence to International Guidelines,"D Malaeb, S Cherri, I Fahs, H Sacre, E Abdallah, P Salameh, H Hosseini","Current Drug Safety 18 (4), 555-562",2023,1
Assessment of Antimicrobial Utilization among Cancer Patients with Febrile Neutropenia at the Lebanese Hospitals,"S Cherri, D Malaeb, L Shouman, I Fahs, R Hallit, S Hallit, B Malaeb, ...","Current Drug Safety 18 (4), 496-503",2023,1
Cultural adaptation and validation of the Arabic version of the short 12-item stroke-specific quality of life scale,"F Sakr, M Dabbous, M Akel, P Salameh, H Hosseini","Frontiers in Neurology 14, 1232602",2023,1
The use of intravenous thrombolytics in acute ischemic stroke management: a scoping review from 2008 till 2021 in the Arab world in the Middle East and North Africa,"D Malaeb, S Hallit, F Sakr, M Dabbous, W Saadeh, S Mansour, S Cherri, ...","Journal of Stroke and Cerebrovascular Diseases 32 (8), 107201",2023,1
"Abstract Proceedings of the 38th Annual Canadian Association of Psychosocial Oncology (CAPO) Conference, June 2023","P Traversa, CG Loiselle","Current Oncology 30 (7), 6872-6963",2023,1
Acceptance and attitude of Lebanese lawyers and medical students toward surrogate pregnancy: a cross-sectional study,"R Nawfal, J Kassem, LN Sayegh, A Haddad, M Azzi, P Salameh, ...","Reproductive Health 20 (1), 94",2023,1
The self-assessment scale of cognitive complaints in Schizophrenia: validation of the Arabic version among a sample of lebanese patients,"C Haddad, H Sacre, E Abboche, P Salameh, B Calvet","BMC psychiatry 23 (1), 415",2023,1
Asthma Management in Developing Countries,"R Azzi, S Hallit, D Saadeh, H Sacre, P Salameh",Handbook of Medical and Health Sciences in Developing Countries: Education …,2023,1
Competencies required for graduated physicians: the integration of Englander’s common taxonomy in a validated scale for the assessment of competency acquiring in undergraduate …,"S El Hage, MN Chahine, G Sayde, M Daaboul, J El Masri, P Salameh","Irish Journal of Medical Science (1971-) 192 (1), 499-507",2023,1
Economic burden of multiple sclerosis in low-and middle-income countries: a case study from Lebanon,J Dahham,,2023,1
"Knowledge, attitude, risky behaviours and preventive measures and COVID-19 infection: a cross-sectional study in Lebanon","FR Sakr, AM Maalouf, E Msallem, AA Issa, JG Nehme, M Hoteit, ...",East Mediterr Health J 29 (4),2023,1
"Using a pharmacist-led educational tool to teach elementary and middle-school students in Lebanon about microbes, antibiotic use and antimicrobial resistance: A pilot study","K Iskandar, E Makhoul, C Haddad, D Hammoudi, S EL Khatib, IA Jomha, ...",International Pharmaceutical Federation,2023,1
Promouvoir l'usage approprié des médicaments chez les personnes âgées libanaises en soins primaires: chutes et facteurs associés,S El Khatib,Université Paul Sabatier-Toulouse III,2022,1
Barriers to access multiple sclerosis disease-modifying therapies in Middle East and North Africa: A regional survey-based study,"M Zeineddine, F Boumédiène, A Al-Hajje, P Salameh, A Helme, M Thor, ...",38 th Congress of the European Committee for Treatment and Research in …,2022,1
Anger hits the road: Validation and cross-cultural adaptation of the Arabic version of driving anger scale and its association with road traffic crashes and fines,"D Youssef, P Salameh, L Abou-Abbas, LR Salmi",,2022,1
Épidémiologie des erreurs médicamenteuses: étude de la prévalence et des déterminants: prévention et recherche en soins infirmiers,C Azar,Université Paris-Est; Université Libanaise,2021,1
Physical activity and odds of coronary heart disease among Lebanese women.,"F Ghaddar, RK Zeidan, P Salameh, S Tatari, G Achkouty, FM Schwalm","Atherosclerosis 331, e157",2021,1
Factors related to pregnancy status among Lebanese women during COVID-19 confinement,"C Haddad, SB Malhab, H Sacre, D Malaeb, J Azzi, D Khachman, ...",,2021,1
Assessing Changes in Lifestyle and Health-Related Behaviors During the COVID-19 Pandemic: A Cross-Sectional Web-Based Survey Among Lebanese Adults,"D Saadeh, A Hajj, D Malaeb, H Sacre, C Haddad, P Salameh",,2021,1
"Eastern Mediterranean Health Journal [2021; Vol. 27, Issue 10]",World Health Organization,"East. Mediterr. health j, 945-1027",2021,1
The development of a guidance framework for the implementation of quality management in the Lebanese higher education: doctoral dissertation,K Saliba,Fakulteta za organizacijske študije v Novem mestu,2021,1
Influence of genetic polymorphisms on waterpipe smoking phenotypes,"SB Malhab, A Hajj, FHM Lteif, P Salameh, LR Khabbaz","Gene Reports 21, 100899",2020,1
The combined outcomes of the COVID-19 pandemic and a collapsing economy on quality of life: A cross-sectional study,"H Sacre, A Hajj, DA Badro, CA Selwan, R Aoun, P Salameh",Pre-Print. doi 10,2020,1
"Tablet vs book learning: Impact on memory, attention and learning skills","J Tawil, C Haddad, Y Farchakh, H Sacre, R Nabout, S Obeid, P Salameh, ...",,2020,1
"Video gaming addiction and its impact on memory, attention, and learning skills in children: a Lebanese study","Y Farchakh, C Haddad, H Sacre, S Obeid, P Salameh, S Hallit",Child Adolescent Psychiatry Mental Health 14,2020,1
Facteurs de risque et prise en charge de l'épilepsie au Liban: Enquête auprès de la population Libanaise à Beyrouth,L Mroueh,Université de Limoges; Université Libanaise,2019,1
A retrospective study on the impact of statins on blood glucose levels in Lebanese controlled type two diabetic patients,"NM Chamsine, RG Mhanna, S Hallit, P Salameh, B Malaeb, R Hallit, ...",Medical Research Archives 7 (8),2019,1
EPR19-072: breast Cancer laterality and Immunohistochemical characteristics,"T Safi, P Salameh, L Aoude, M Waked, B Kobrossy","Journal of the National Comprehensive Cancer Network 17 (3.5), EPR19-072 …",2019,1
Food Allergy in Lebanese schoolchildren: a pilot cross-sectional study,"C Irani, S Hallit, P Salameh, G Sahyoun","Journal of Allergy and Clinical Immunology 143 (2), AB159",2019,1
"Smoking social acceptability in Lebanese adults: Effect of age, gender, family influence, and residence","SB Malhab, S Hallit, LR Khabbaz, P Salameh","AMERICAN JOURNAL OF PREVENTIVE MEDICINE 5 (2), 35-44",2019,1
